﻿Раздел;Название зала;Комплекс;Город;Страна;Регион;Вместимость;Архитектор;Акустический консультант;Открытие/сдача;Комментарий;Источник;Доп. источники;ФОТО;Статус
Концертные залы;FIDUCIAL Astéria;OL Vallée (рядом с LDLC Arena);Декин-Шарпьё (Лион);Франция;Европа;1500–3500 (модульная, до 3500);Художник-архитектор Николя Паолоцци (девелопер и оператор — ThrillStage); -;30 октября 2025;Модульный зал-«спутник» LDLC Arena с изменяемой конфигурацией на 1500–3500 мест, акустика адаптирована под концерты, стендап и конференции.;https://www.fiducial-asteria.com/fiducial-asteria;;photos/FIDUCIAL Astéria;ОК
Концертные залы;Powell Hall;Jack C. Taylor Music Center;Сент-Луис;США;Северная Америка;2150;Snøhetta (архитектор-дизайнер) с Christner Architects / CannonDesign (архитектор-исполнитель);Kirkegaard Associates;"19 сентября 2025 (торжественная церемония открытия); первые концерты сезона — 26–28 сентября 2025";"Реконструкция и расширение (тип: реконструкция) исторического зала 1925 года — дома Сент-Луисского симфонического оркестра; новая пристройка на 64 000 кв. футов при сохранении знаменитой акустики, приуроченная к столетию зала.";https://www.snohetta.com/projects/powell-hall-at-the-jack-c-taylor-music-center;https://www.stltoday.com/news/local/metro/collection_b507a3c6-4ffd-4fe7-b395-d38e3e86feac.html;photos/Powell Hall;ОК
Концертные залы;Большой концертный зал Дворца школьников (после реконструкции);Дворец школьников г. Алматы;Алматы;Казахстан;Россия и СНГ;"720 (по данным более раннего описания зала; общая площадь зала после реконструкции 2025 г. — 1168 кв.м, конфигурация и историческая вместимость сохранены)";н/д (реконструкция и модернизация);н/д;мар.25;"Первая за 42 года реконструкция зала — памятника архитектуры местного значения; сохранены исторический облик и оригинальный акустический дизайн, установлена система управления звуковыми волнами.";https://aqshamnews.kz/kz/article/almatydagy-oqushylar-saraiynda-ulken-konsert-zaly-ashyldy.html;"https://vlast.kz/inside/16833-vnutri-dvorec-skolnikov.html (720 мест); https://el.kz/ru/bolshoy-kontsertnyy-zal-dvortsa-shkolnikov-almaty-polnostyu-modernizirovali_400017666/ (площадь зала 1168 кв.м, реконструкция март 2025); acoustics — консультант по имени не назван, упомянута лишь сохранённая 'уникальная система контроля звуковых волн' без указания бюро — оставлено н/д";;не проверен
Концертные залы;Busan Concert Hall;Busan International Arts Center / Busan Citizens Park;Пусан;Республика Корея;Азия;2011;HAEAHN Architecture (при участии dmp, ING group);"н/д (архитекторы ориентировались на акустическую концепцию Elbphilharmonie; консультант в открытых источниках не назван)";"20 июня 2025 (официальное открытие); строительство завершено в 2024, пробный запуск и монтаж органа — март 2025";"Вантажный зал в форме корабля на месте бывшей военной базы США; вместимость 2011 мест, вингъярд-планировка, первый орган (4423 трубы) вне Сеульского региона.";https://www.koreaherald.com/article/10515795;;photos/Busan;ОК
Концертные залы;Fukuoka Civic Hall (福岡市民ホール) — Large Hall;Fukuoka Civic Hall;Фукуока;Япония;Азия;1994;Azusa Sekkei / Shun Sekkei / Toda Yoshiki Landscape Design (совместное предприятие);Yamaha Corporation, Space Acoustics Group (日根野翔太, 宮崎秀生);28 марта 2025;"Подковообразный многофункциональный зал на замену Fukuoka Civic Hall 1963 года; управление ранними отражениями звука через диффузоры на боковых стенах и оптимизацию потолка.";https://acoustic-design.yamaha.com/_cases/pdf/202412fukishima_shitizen.pdf;;;не проверен
Концертные залы;Finlandia Hall (главный зал, реконструкция);Finlandia-talo;Хельсинки;Финляндия;Европа;н/д (историческая вместимость ок. 1700, после реконструкции не уточнена в источниках);"Alvar Aalto (ориг. проект, 1971); реконструкция — Arkkitehdit NRT";н/д;4 января 2025 (после 3 лет реконструкции);"Реконструкция; тип: реконструкция. Памятник модернизма Алвара Аалто вновь открыт с новыми общественными пространствами, рестораном и выставкой.";https://www.archdaily.com/1025295/alvar-aaltos-finlandia-hall-reopens-in-helsinki-after-extensive-renovations-led-by-arkkitehdit-nrt;"https://www.archdaily.com/1025295/alvar-aaltos-finlandia-hall-reopens-in-helsinki-after-extensive-renovations-led-by-arkkitehdit-nrt; https://www.skanska.com/group/en/media/foresight/articles/a-symphony-of-circularity-renovating-finlandia-hall — акустический консультант не назван";;не проверен
Концертные залы;Beethovenhalle (Großer Saal);Beethovenhalle Bonn;Бонн;Германия;Европа;1697;"Siegfried Wolske (оригинал 1959); реставрация — Бундесштадт Бонн / Drees & Sommer (проектное управление)";Peutz (Peutz Consult) совместно с Müller-BBM Acoustic Solutions (электронная система Vivace);16 декабря 2025 (официальное открытие после реставрации);Памятник модернизма 1959 года реставрирован и впервые оснащён электронной акустической системой Vivace, разработанной Müller-BBM совместно с Peutz.;https://www.bonn.de/pressemitteilungen/august/stadt-bonn-uebergibt-modernisierte-beethovenhalle-an-bonncc.php;;;не проверен
Концертные залы;Xi'an Grand Theater Concert Hall (西安大剧院音乐厅);Xi'an Grand Theater / 西安大剧院;Сиань;Китай;Азия;1300;"Wang Shu, Amateur Architecture Studio; China Northwest Building Design Research Institute";Nagata Acoustics;"мягкое открытие — начало 2025; торжественное открытие — октябрь 2025";Стены зала из монолитного бетона с бамбуковой фактурой (форма-вкладыш из бамбуковых полос) рассеивают звуковые отражения, над сценой — стеклянный отражатель, зал асимметричной формы с одним балконом-обходом.;https://www.nagata-i.com/portfolio/xian-concert-hall/;;;не проверен
Концертные залы;East Kowloon Cultural Centre — The Hall;East Kowloon Cultural Centre (EKCC);Гонконг;Гонконг;Азия;1200;Rocco Design Architects Associates (Rocco Yim);Theatreplan (театральный/акустический консалтинг всего комплекса);"3 ноября 2025 (торжественное открытие); полноценная работа с ноября 2025";Флагманский зал для долгоиграющих постановок, интеграция технологий arts-tech, многонаправленная звуковая система и 4K-проекция.;https://www.info.gov.hk/gia/general/202511/03/P2025110300253.htm;;;не проверен
Концертные залы;Главный зал Концертного центра «Сириус»;Концертно-театральный центр «Сириус»;Сириус (федеральная территория, Сочи);Россия;Россия и СНГ;1200;Андрей Литвинов (Архитектурная ассоциация Андрея Литвинова / Lifequality);Ясухиса Тойота (Nagata Acoustics);"3 октября 2025 (торжественное открытие с участием В. Путина; первые концерты — с сентября 2025)";Форма здания вписана в силуэт Кавказских гор, зал-трансформер с перемещаемой оркестровой раковиной, позволяющей за 30 минут превратить филармонию в театр.;https://fedpress.ru/news/23/society/3404653;;;не проверен
Концертные залы;Ponte Vedra Concert Hall;н/д;Понте-Ведра-Бич, Флорида;США;Северная Америка;450 сидячих / до 1100 включая стоячие места (рост на 25%);Fisher | Koppenhafer Architecture and Interior Design;н/д (аудиосистема L-Acoustics L2D 50 кВт);31 августа 2025 (открытие для публики — 1 августа 2025);"Реконструкция и пристройка ($12,9–13 млн) к залу, переоборудованному в 2011 году из здания бывшей баптистской церкви 1980 года; добавлен второй балкон.";https://www.jaxdailyrecord.com/news/2025/nov/13/ponte-vedra-concert-hall/;;;не проверен
Концертные залы;Gran Sala Sinfónica Nacional;Complejo Universitario VM20 (CEAC, Universidad de Chile);Сантьяго;Чили;Латинская Америка;1078;Jorge Iglesis, Marcial Diéguez (FAU Universidad de Chile);Gustavo Basso;10 июля 2025;Первый в Чили зал, изначально спроектированный как симфонический, без электроакустического усиления — естественная акустика 360°, дом Национального симфонического оркестра Чили.;https://fau.uchile.cl/noticias/230161/universidad-de-chile-inauguro-su-gran-sala-sinfonica-nacional;;;не проверен
Концертные залы;Heritage Hall (Sala Héritage);Campus Academiei Naționale de Muzică „Gheorghe Dima”;Клуж-Напока;Румыния;Европа;1031;Cristian Mihăescu;"н/д (заявлено вдохновение решениями Стокгольмской музыкальной академии; консультант в источниках не назван)";29 сентября 2025 (кампус), 5 октября 2025 (торжественное открытие зала);"Крупнейший концертный зал, построенный в Румынии после 1989 года; овальная форма, отделка Gustafs, подвесной потолок с 10 волнами, RT 1,55 с.";https://gustafs.com/projects/gheorge-dima-national-academy-of-music/;;;не проверен
Концертные залы;Héritage Hall — уточнение по данным Gustafs/Pizzicato (Cluj-Napoca);Кампус Национальной музыкальной академии им. Джордже Дима;Клуж-Напока;Румыния;Европа;1031;Cristian Mihăescu;Gustafs (деревянная отделка), реверберация 1,55 с;"кампус инаугурирован в сентябре 2025; сам зал Héritage Hall инаугурирован в октябре 2025 (7 октября 2025 — официальная церемония с министром)";ДОПОЛНЕНИЕ к уже собранному объекту 'Sala Symfoniczna/Héritage Hall': крупнейший концертный зал, построенный в Румынии после 1989 года, полностью на государственные средства (~50 млн евро), овальная форма с деревянным подвесным потолком из десяти волн.;https://www.mediafax.ro/english/the-new-headquarters-of-the-national-academy-of-music-in-cluj-napoca-has-been-inaugurated-23621982;;;не проверен
Концертные залы;Shanghai Long Beach Concert Hall (上海长滩音乐厅);Baoshan Long Beach cultural-tourism complex;Шанхай;Китай;Азия;1025;"DLR Group (design architect); local design institute — Tongji Architectural Design (Group) Co., Ltd";Yasuhisa Toyota (Nagata Acoustics);2025 (открытие для публики после тестовых концертов осени 2024);"Форма «кристаллического дворца» — нижняя часть из 22 стеклянных треугольных граней, верхняя — из перфорированных алюминиевых панелей; зал «шустрого» типа рассчитан на полноразмерный симфонический оркестр.";https://news.qq.com/rain/a/20250218A075ZN00;"https://www.archdaily.cn/cn/1014232/shang-hai-chang-tan-feng-ta-dlr-group; https://news.qq.com/rain/a/20250218A075ZN00";;не проверен
